#TYPE;Selected.System.Management.ManagementObject;;
date;user;productname;
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB3170735)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;2017-09, m?s??n? kumulativn? aktualizace zabezpe?en? pro zv??en? kvality pro Windows 7 pro syst?my s?procesorem x86 (KB4038777)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? pro rozhran? Microsoft .NET Framework 3.5.1 v syst?mu Windows 7 SP1 x86 (KB2729452)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB3139398)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB2807986)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB3021917)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB3139914)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB3108381)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB2758857)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB2563227)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? pro rozhran? Microsoft .NET Framework 3.5.1 v syst?mu Windows 7 SP1 x86 (KB3097989)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB2770660)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB2506928)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB2891804)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB3046017)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB2978742)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? pro rozhran? Microsoft .NET Framework 3.5.1 v syst?mu Windows 7 SP1 x86 (KB2604115)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? pro rozhran? Microsoft .NET Framework 3.5.1 v syst?mu Windows 7 SP1 x86 (KB2978120)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB3147071)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB3138910)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB3115858)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB3092627)
